Text_id,Text_types
HHD,magazine
HHJ,magazine
HJ5,other - written
HUD,seminar/ conference
HUH,lecture/ training
J95,lecture/ training
JA5,meeting
JJC,interview
JN8,meeting
JNS,other - spoken
JNT,other - spoken
JNW,interview
JP0,meeting
JP4,lecture/ training
JP7,lecture/ training
JT5,other - spoken
K71,lecture/ training
KAU,letters
KGS,lecture/ training
KM0,seminar/ conference
KP6,other - spoken
KRT,tv or radio broadcast
KS1,meeting
KSR,other - spoken
KSS,other - spoken
KST,other - spoken
KSU,other - spoken
KSV,other - spoken
KSW,other - spoken
AA0,newspaper
B05,book
BM9,book
EFP,book
EFW,book
FBV,other - written
FC0,other - written
FCJ,other - written
FCK,other - written
FCL,other - written
FCN,other - written
FCR,other - written
FCT,other - written
FCX,other - written
FCY,other - written
FD1,other - written
FD3,other - written
FD8,other - written
FD9,other - written
FDG,other - written
FDH,other - written
FDR,other - written
FDS,other - written
FDT,other - written
FDW,other - written
FDY,other - written
FE1,other - written
FE2,other - written
HJ7,academic journal
J1A,book
K2V,newspaper
K3X,newspaper
K4T,newspaper
K4V,newspaper
K5D,newspaper
K97,newspaper
